index,url,Adgangskvotienter,Uddannelse,ledighed_nyudd,maanedloen_nyudd,ledighed_10aar,maanedloen_10aar
119,www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/naturvidenskabeligebacheloruddannelser/matematikfysikkemiogdatalogi/fysik,6.3,Fysik - Aarhus Universitet,7.0,33700.0,1.0,52900.0
120,www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/naturvidenskabeligebacheloruddannelser/matematikfysikkemiogdatalogi/fysik,0.0,Fysik - Aalborg Universitet,11.0,33950.0,2.0,46400.0
121,www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/naturvidenskabeligebacheloruddannelser/biologigeografigeologimv/geografi,0.0,Geografi - Københavns Universitet,16.0,33300.0,5.0,46300.0
122,www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/naturvidenskabeligebacheloruddannelser/biologigeografigeologimv/geografi,7.9,Geografi - Aalborg Universitet,16.0,33950.0,5.0,37800.0
123,www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/naturvidenskabeligebacheloruddannelser/biologigeografigeologimv/husdyrvidenskab,0.0,Husdyrvidenskab - Københavns Universitet,13.0,31800.0,,
124,www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/naturvidenskabeligebacheloruddannelser/oevrigenaturvidenskab/idraet,0.0,Idræt - Københavns Universitet,13.0,31200.0,2.0,48100.0
125,www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/naturvidenskabeligebacheloruddannelser/oevrigenaturvidenskab/idraet,7.1,Idræt - Syddansk Universitet,17.0,31700.0,3.0,47900.0
126,www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/naturvidenskabeligebacheloruddannelser/oevrigenaturvidenskab/idraet,6.9,Idræt - Aarhus Universitet,18.0,30600.0,4.0,45900.0
127,www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/naturvidenskabeligebacheloruddannelser/oevrigenaturvidenskab/idraet,8.3,Idræt - Aalborg Universitet,24.0,31100.0,,46400.0
128,www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/naturvidenskabeligebacheloruddannelser/oevrigenaturvidenskab/interaktionsdesign,0.0,Interaktionsdesign - Aalborg Universitet,31.0,,,
